,Processed Dataset,Accuracy
0,Serum(Raw),0.9090909090909092
1,Serum(Raw),0.867739898989899
2,Serum(Raw),0.8477240352240353
3,Serum(Raw),0.8267652486402487
4,Serum(Raw),0.8189879564879565
5,Serum(Raw),0.8202214452214452
6,Serum(Raw),0.8300310800310802
7,Serum(Raw),0.8356521950271951
8,Serum(Raw),0.8387615470948805
9,Serum(Raw),0.8305798368298369
10,pca2_serum,0.696969696969697
11,pca2_serum,0.6436237373737375
12,pca2_serum,0.6598517223517224
13,pca2_serum,0.670236013986014
14,pca2_serum,0.6998251748251748
15,pca2_serum,0.6688357938357937
16,pca2_serum,0.6834068709068708
17,pca2_serum,0.6865226787101786
18,pca2_serum,0.6817912026245359
19,pca2_serum,0.6886120823620823
20,pca3_serum,0.7348484848484849
21,pca3_serum,0.6868686868686869
22,pca3_serum,0.7271432271432271
23,pca3_serum,0.7068157536907536
24,pca3_serum,0.7472707847707847
25,pca3_serum,0.739623802123802
26,pca3_serum,0.7609473859473859
27,pca3_serum,0.7699956293706293
28,pca3_serum,0.7753496503496503
29,pca3_serum,0.761703574203574
30,pca4_serum,0.8181818181818181
31,pca4_serum,0.7910353535353535
32,pca4_serum,0.8222286972286973
33,pca4_serum,0.8232687451437452
34,pca4_serum,0.8070998445998446
35,pca4_serum,0.7906387593887594
36,pca4_serum,0.8126110001110002
37,pca4_serum,0.8256179584304585
38,pca4_serum,0.829842225675559
39,pca4_serum,0.8294968919968919
40,pca5_serum,0.8181818181818181
41,pca5_serum,0.7910353535353535
42,pca5_serum,0.8094081844081843
43,pca5_serum,0.8119172494172493
44,pca5_serum,0.7980186480186479
45,pca5_serum,0.7923303548303547
46,pca5_serum,0.814060939060939
47,pca5_serum,0.826886655011655
48,pca5_serum,0.825919450919451
49,pca5_serum,0.8252719502719502
50,pca10_serum,0.8636363636363636
51,pca10_serum,0.8137626262626263
52,pca10_serum,0.8245596995596997
53,pca10_serum,0.8371697746697747
54,pca10_serum,0.8182206682206683
55,pca10_serum,0.8091653716653718
56,pca10_serum,0.8284909534909536
57,pca10_serum,0.8395129176379178
58,pca10_serum,0.8329340412673747
59,pca10_serum,0.8253350815850817
60,pca15_serum,0.8636363636363636
61,pca15_serum,0.7859848484848484
62,pca15_serum,0.7932206682206683
63,pca15_serum,0.8136655011655012
64,pca15_serum,0.8160839160839162
65,pca15_serum,0.8073847448847449
66,pca15_serum,0.8100996225996226
67,pca15_serum,0.8182121697746698
68,pca15_serum,0.8182087973754641
69,pca15_serum,0.8120823620823622
70,pca20_serum,0.8636363636363636
71,pca20_serum,0.872790404040404
72,pca20_serum,0.8639115514115514
73,pca20_serum,0.8684197746697746
74,pca20_serum,0.8523115773115773
75,pca20_serum,0.8479911292411293
76,pca20_serum,0.8538336663336664
77,pca20_serum,0.8460627913752915
78,pca20_serum,0.8480154105154106
79,pca20_serum,0.8444638694638694
80,tsne2_serum,0.6515151515151515
81,tsne2_serum,0.6243686868686869
82,tsne2_serum,0.647015022015022
83,tsne2_serum,0.6623445998445998
84,tsne2_serum,0.6844211344211344
85,tsne2_serum,0.6791472416472416
86,tsne2_serum,0.6932373182373182
87,tsne2_serum,0.71074932012432
88,tsne2_serum,0.7134270050936716
89,tsne2_serum,0.7184731934731934
90,tsne3_serum,0.7424242424242424
91,tsne3_serum,0.6906565656565656
92,tsne3_serum,0.7296684796684797
93,tsne3_serum,0.7660013597513597
94,tsne3_serum,0.7703768453768454
95,tsne3_serum,0.7611936674436675
96,tsne3_serum,0.7784437784437784
97,tsne3_serum,0.7748883061383062
98,tsne3_serum,0.7754899421566088
99,tsne3_serum,0.7798853923853925
100,Plasma(Specific Metabolics),0.8820318570318569
101,Serum(Specific Metabolics),0.9286761849261848
102,pca2_plasma(Specific Metabolics),0.8960372960372961
103,pca2_serum(Specific Metabolics),0.8873300310800311
104,pca3_plasma(Specific Metabolics),0.8938956876456878
105,pca3_serum(Specific Metabolics),0.8795600233100233
106,pca4_plasma(Specific Metabolics),0.8977466977466978
107,pca4_serum(Specific Metabolics),0.8761509324009324
108,pca5_plasma(Specific Metabolics),0.9033022533022532
109,pca5_serum(Specific Metabolics),0.8973679098679099
110,pca10_plasma(Specific Metabolics),0.9001456876456878
111,pca10_serum(Specific Metabolics),0.9043657731157732
112,pca15_plasma(Specific Metabolics),0.8973630536130536
113,pca15_serum(Specific Metabolics),0.8959158896658896
114,pca20_plasma(Specific Metabolics),0.8834790209790212
115,pca20_serum(Specific Metabolics),0.8966637529137531
116,tsne2_plasma(Specific Metabolics),0.907085275835276
117,tsne2_serum(Specific Metabolics),0.8870095182595182
118,tsne3_plasma(Specific Metabolics),0.7595619658119658
119,tsne3_serum(Specific Metabolics),0.7306128593628592
120,Plasma(Specific Metabolics)_0.001,0.892890442890443
121,Serum(Specific Metabolics)_0.001,0.8521707459207459
122,pca2_plasma(Specific Metabolics)_0.001,0.8848096348096348
123,pca2_serum(Specific Metabolics)_0.001,0.8076631701631701
124,pca3_plasma(Specific Metabolics)_0.001,0.8806429681429682
125,pca3_serum(Specific Metabolics)_0.001,0.8056429681429682
126,pca4_plasma(Specific Metabolics)_0.001,0.8637237762237762
127,pca4_serum(Specific Metabolics)_0.001,0.8572892385392386
128,pca5_plasma(Specific Metabolics)_0.001,0.8636023698523699
129,pca5_serum(Specific Metabolics)_0.001,0.8466103341103342
130,pca10_plasma(Specific Metabolics)_0.001,0.8449057886557887
131,pca15_plasma(Specific Metabolics)_0.001,0.8678273115773116
132,tsne2_plasma(Specific Metabolics)_0.001,0.8009663947163947
133,tsne2_serum(Specific Metabolics)_0.001,0.8494512432012431
134,tsne3_plasma(Specific Metabolics)_0.001,0.7961684149184148
135,tsne3_serum(Specific Metabolics)_0.001,0.7224358974358974
136,Plasma(Exploratory),0.890166083916084
137,pca2_plasma(Exploratory),0.8197163947163947
